POS Txn,item
16120100160023000000,VITAMINS & HLTH AIDS
16120100160023000000,SPORTS NUTRITION
16120100160023000000,BEVERAGES
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,MENS ACCESSORIES
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,BEVERAGES
16120100160023000000,SPIRITS
16120100160023000000,HEALTH AIDS
16120100160023000000,GENERAL GROCERIES
16120100160023000000,WINE
16120100160023000000,GENERAL GROCERIES
16120100160023000000,BEVERAGES
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,SPIRITS
16120100160023000000,SPIRITS
16120100160023000000,GIRLS ACCESSORIES
16120100160023000000,HEALTH AIDS
16120100160023000000,SMALL ELECTRICS
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,TOBACCO
16120100160023000000,SEASONAL
16120100160023000000,SEASONAL
16120100160023000000,GENERAL HARDWARE
16120100160023000000,BARBER RETAIL
16120100160023000000,BEAUTY RETAIL
16120100160023000000,WINE
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,SPIRITS
16120100160023000000,HEALTH AIDS
16120100160023000000,BEAUTY CARE
16120100160023000000,PERSONAL CARE
16120100160023000000,TOBACCO
16120100160023000000,HEALTH AIDS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,GENERAL GROCERIES
16120100160023000000,BEVERAGES
16120100160023000000,CANDY
16120100160023000000,CANDY
16120100160023000000,HEALTH AIDS
16120100160023000000,BEAUTY CARE
16120100160023000000,HEALTH AIDS
16120100160023000000,BEAUTY CARE
16120100160023000000,CANDY
16120100160023000000,WINE
16120100160023000000,GENERAL GROCERIES
16120100160023000000,BEVERAGES
16120100160023000000,PET SUPPLIES
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,BEAUTY CARE
16120100160023000000,PERSONAL CARE
16120100160023000000,GENERAL GROCERIES
16120100160023000000,BEVERAGES
16120100160023000000,WINE
16120100160023000000,TOYS
16120100160023000000,SEASONAL
16120100160023000000,GENERAL HARDWARE
16120100160023000000,PET SUPPLIES
16120100160023000000,UNSCANNED ITEMS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,SPORTS NUTRITION
16120100160023000000,WINE
16120100160023000000,WINE
16120100160023000000,BEAUTY RETAIL
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,BEAUTY CARE
16120100160023000000,BEER
16120100160023000000,TOBACCO
16120100160023000000,GENERAL HOUSEWARES
16120100160023000000,BEVERAGES
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,BEAUTY RETAIL
16120100160023000000,SCHOOL/OFFIC SUPP
16120100160023000000,MASS COSMETICS
16120100160023000000,SEASONAL
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,MENS ACCESSORIES
16120100160023000000,BEVERAGES
16120100160023000000,CANDY
16120100160023000000,SPIRITS
16120100160023000000,GENERAL GROCERIES
16120100160023000000,BEVERAGES
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,TOBACCO
16120100160023000000,PERSONAL CARE
16120100160023000000,SEASONAL
16120100160023000000,HOUSEHOLD CLEANING
16120100160023000000,BEVERAGES
16120100160023000000,CANDY
16120100160023000000,WINE
16120100160023000000,TOBACCO
16120100160023000000,TOBACCO
16120100160023000000,SEASONAL
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,TOYS
16120100160023000000,LAWN & GARDEN
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,TOBACCO
16120100160023000000,CANDY
16120100160023000000,BEER
16120100160023000000,PERSONAL CARE
16120100160023000000,MENS DENIM JEANS
16120100160023000000,MENS FURNISHINGS
16120100160023000000,YOUNG MENS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,DIGITAL FITNESS
16120100160023000000,FITNESS/EXERCISE
16120100160023000000,BEVERAGES
16120100160023000000,WINE
16120100160023000000,GIRLS ACCESSORIES
16120100160023000000,TOYS
16120100160023000000,SEASONAL GIFTS
16120100160023000000,PET SUPPLIES
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,SPIRITS
16120100160023000000,BEER
16120100160023000000,SPIRITS
16120100160023000000,AMERICAN GREETINGS
16120100160023000000,PERSONAL CARE
16120100160023000000,TOYS
16120100160023000000,WINE
16120100160023000000,TOBACCO
16120100160023000000,SPIRITS
16120100160023000000,SPIRITS
16120100160023000000,WINE
16120100160023000000,BEER
16120100160023000000,PET SUPPLIES
16120100160023000000,SPIRITS
16120100160023000000,SPIRITS
16120100160023000000,BEAUTY RETAIL
16120100160023000000,BEAUTY CARE
16120100160023000000,PET SUPPLIES
